p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.psi66,RMSE.psi77,RMSE.psi88,RMSE.psi99,RMSE.psi1010,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.psi66,BIAS.psi77,BIAS.psi88,BIAS.psi99,BIAS.psi1010,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.psi66,SE BIAS.psi77,SE BIAS.psi88,SE BIAS.psi99,SE BIAS.psi1010,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
10,2,100,15,50,Norm,gammaN.model,1,1,0.51047511,0.158274834,0.017734404,0.053,0.06,0.021,0.021372554,0.025336582,0.199130639,0.188821487,0.169224643,0.165646695,0.16006721,0.161273412,0.165645381,0.179044621,0.189831691,0.216835999,0.158616727,0.229079922,0.144194954,0.000542945,0.000505669,-0.009284361,-0.010422336,-0.015227742,-0.017204554,-0.005107608,-0.014053928,-0.009295718,-0.003711084,-0.008400057,-0.008531803,-0.008580195,-0.012864463,-0.010692059,-0.02839747,-0.011147298,0.019787212,-0.037310236,-0.002352319,-0.025640467,-0.018198696,-0.01688602,-0.016958075,-0.038756323,-0.003678204,-0.008731603,-0.026758385,0.01106664,-0.000347112
10,2,100,15,50,Norm,gammaN.s,1,0.94,0.502243476,0.251763662,0.109740044,0.038,0.078,0.037,0.022449404,0.026579257,0.299923708,0.287842385,0.285753104,0.290993394,0.275991017,0.286039142,0.277262598,0.282444471,0.29227167,0.306454224,0.256370981,0.335520965,0.25055861,0.000641967,0.000929025,-0.163325361,-0.162874752,-0.174471395,-0.180154465,-0.170211016,-0.17725323,-0.169929693,-0.166206414,-0.165830743,-0.159137628,-0.151835628,-0.163762766,-0.15862542,-0.136113257,-0.120979843,-0.076586572,-0.113637702,-0.090537754,-0.131179281,-0.122291185,-0.129736899,-0.096226286,-0.1006654,-0.084405309,-0.077183625,-0.138351202,-0.125690013,-0.102516328
10,2,100,15,50,Norm,ridgeI,1,0.99,62.74539356,0.253701616,0.430249958,1,0.818,0.796,0.026055177,0.031744668,0.306021921,0.285062815,0.273350568,0.27587763,0.258655977,0.269558156,0.267258347,0.274607341,0.285347764,0.313476344,0.280322698,0.383412155,0.274772676,0.000662401,0.000490964,-0.136379382,-0.133765398,-0.136918642,-0.152408996,-0.136965095,-0.147431662,-0.143008638,-0.134369585,-0.129479795,-0.128238531,-0.149651509,-0.169671291,-0.160499565,-0.414051918,-0.421672236,-0.417829625,-0.435354457,-0.438584935,-0.425653558,-0.429067096,-0.429425809,-0.416298957,-0.429359525,-0.424255553,-0.419353824,-0.460169269,-0.450696415,-0.441976195
10,2,100,15,50,Norm,ridgeD,1,0.01,0.235578285,0.28184818,0.229484668,0,0.382,0.24,0.022937835,0.027747873,0.251257046,0.219167257,0.199945109,0.201940075,0.218805218,0.272772478,0.347841091,0.44895463,0.545674047,0.676767201,0.228156488,0.344732134,0.221024224,0.000144467,0.000134964,-0.071035442,-0.053012029,-0.054697421,-0.057830805,-0.045001067,-0.043842707,-0.024203253,-0.011640541,0.007485991,0.003124782,-0.115783787,-0.166089938,-0.125447065,-0.227916644,-0.233126911,-0.20729226,-0.229604879,-0.227253702,-0.250082521,-0.233141078,-0.216803567,-0.210097421,-0.215759527,-0.19631584,-0.187166931,-0.284129524,-0.260913135,-0.262666075
10,2,100,15,50,Norm,gls.model,1,1,0.51047511,0.158274834,0.031015426,0.053,0.06,0.021,0.021372554,0.025336582,0.199130639,0.188821487,0.169224643,0.165646695,0.16006721,0.161273412,0.165645381,0.179044621,0.189831691,0.216835999,0.158616727,0.229079922,0.144194954,0.000542945,0.000505669,-0.009284361,-0.010422336,-0.015227742,-0.017204554,-0.005107608,-0.014053928,-0.009295718,-0.003711084,-0.008400057,-0.008531803,-0.008580195,-0.012864463,-0.010692059,-0.02839747,-0.011147298,0.019787212,-0.037310236,-0.002352319,-0.025640467,-0.018198696,-0.01688602,-0.016958075,-0.038756323,-0.003678204,-0.008731603,-0.026758385,0.01106664,-0.000347112
10,2,100,15,50,Norm,gls.s,1,1,0.500626989,0.251896606,0.077397618,0.038,0.047,0.017,0.022456053,0.026513809,0.299711439,0.288050881,0.286090963,0.291132327,0.276335025,0.286130403,0.277256885,0.282619777,0.292923218,0.306697503,0.256163546,0.335527456,0.250839806,0.000649181,0.000951744,-0.163509555,-0.163277556,-0.17504497,-0.18040007,-0.170382204,-0.177300992,-0.169933043,-0.166597467,-0.166784367,-0.159831569,-0.151982416,-0.163775798,-0.158796631,-0.112652319,-0.094290009,-0.021135753,-0.063650868,-0.038387491,-0.074582571,-0.067292772,-0.078884052,-0.046647643,-0.053429233,-0.030494914,-0.023751311,-0.089213207,-0.076850866,-0.057643492
10,2,100,15,50,Norm,ls,1,1,16810.09433,0.758691127,0.991019666,1,0.214,0.038,0.021328442,0.025350083,0.36801964,0.477667694,0.639255247,0.885107701,1.085156198,1.245221417,1.26102089,1.5060319,1.483052633,1.850388357,0.159892028,0.228392354,0.144482324,0.00057408,0.000499763,-0.017639495,-0.003024575,-0.019577004,-0.028109586,-0.034416663,-0.025695991,0.017670829,-0.006562973,0.069239156,-0.05481473,-0.008597384,-0.013348645,-0.010703525,-0.944647224,-0.97819299,-0.987277423,-0.990915253,-0.993338066,-0.995235098,-0.99611692,-0.996647411,-0.996807382,-0.997210632,-0.997269153,-0.997371954,-0.996482352,-0.998319644,-0.999463497
10,2,100,15,50,Norm,wls,1,0,1.184904838,0.318015359,0.574050885,0.964,0.964,0.964,0.031592883,0.038636274,0.399294834,0.372415876,0.353585771,0.350572424,0.330465348,0.346072756,0.347163719,0.348516106,0.36041741,0.400946655,0.328535549,0.448999285,0.313015502,0.000156884,-0.000126631,-0.176338484,-0.170108103,-0.174381791,-0.18438693,-0.17133695,-0.182317266,-0.179417437,-0.169341325,-0.163667064,-0.158751888,-0.157928686,-0.178728017,-0.169162955,-0.556019031,-0.564143452,-0.571101704,-0.589452081,-0.583679235,-0.577367047,-0.572422348,-0.578084366,-0.57262023,-0.56753931,-0.562922474,-0.574135949,-0.594009435,-0.577400812,-0.569865798
10,2,100,15,50,Norm,fites,1,NA,0.054962191,0.157678372,0.040272821,0.083,0.103,0.049,0.021360925,0.025339046,0.197539831,0.188102908,0.167636054,0.16418678,0.159329972,0.16051595,0.165182055,0.177725556,0.190003315,0.216329141,0.158781631,0.228923592,0.14421883,0.00054511,0.000506244,0.000840471,0.000412292,-0.005087891,-0.006938248,0.004873828,-0.002800451,0.001616841,0.005599725,0.001974397,0.000845141,-0.009479373,-0.012273182,-0.010824913,-0.032748543,-0.016205856,-0.010573705,-0.069100616,-0.029844885,-0.060754054,-0.054619935,-0.050752828,-0.049507684,-0.059897391,-0.041907655,-0.042395554,-0.050635111,-0.012646617,-0.022501881
10,2,100,15,50,Norm,fiteu,1,NA,0.054962191,0.157678372,0.110166784,0.083,0.094,0.05,0.021360925,0.025339046,0.197539831,0.188102908,0.167636054,0.16418678,0.159329972,0.16051595,0.165182055,0.177725556,0.190003315,0.216329141,0.158781631,0.228923592,0.14421883,0.00054511,0.000506244,0.000840471,0.000412292,-0.005087891,-0.006938248,0.004873828,-0.002800451,0.001616841,0.005599725,0.001974397,0.000845141,-0.009479373,-0.012273182,-0.010824913,-0.071824841,-0.057049046,-0.082465645,-0.137096049,-0.106794248,-0.140254487,-0.133512606,-0.131579267,-0.125573494,-0.133711594,-0.113576544,-0.109540866,-0.120633372,-0.091464845,-0.097424852
