p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
3,2,50,8,1,Norm,gammaN.model,1,1,0.020296353,0.508725734,0.016455122,0.054,0.054,0.054,0.030425764,0.044107306,0.770522612,0.539618841,1.238820955,0.277190022,0.562893739,0.60622663,0.0005553,-0.001100206,0.016174282,-0.052824657,0.031759827,-0.013637628,0.018592667,-0.036171849,0.01056317,-0.031585918,-0.001860374,-0.011578265,-0.023237878,0.002182508,-0.015845263,-0.0347876
3,2,50,8,1,Norm,gammaN.s,1,1,0.020296353,0.508725734,0.016455122,0.054,0.054,0.054,0.030425764,0.044107306,0.770522612,0.539618841,1.238820955,0.277190022,0.562893739,0.60622663,0.0005553,-0.001100206,0.016174282,-0.052824657,0.031759827,-0.013637628,0.018592667,-0.036171849,0.01056317,-0.031585918,-0.001860374,-0.011578265,-0.023237878,0.002182508,-0.015845263,-0.0347876
3,2,50,8,1,Norm,ridgeI,1,1,0.475534014,0.508609075,0.964600011,0.684,0.054,0.054,0.030002762,0.043597038,0.770522612,0.539618841,1.238820955,0.277190022,0.562893739,0.60622663,0.000595581,-0.001242128,0.016174282,-0.052824657,0.031759827,-0.013637628,0.018592667,-0.036171849,-0.913146017,-0.884015677,-0.982128565,-0.986240432,-0.989051181,-0.988307792,-0.985905126,-0.988005297
3,2,50,8,1,Norm,ridgeD,1,1,0.002422682,0.508677705,1.743141764,0,0.054,0.054,0.030118652,0.044030187,0.770522612,0.539618841,1.238820955,0.277190022,0.562893739,0.60622663,0.000455506,-0.000815352,0.016174282,-0.052824657,0.031759827,-0.013637628,0.018592667,-0.036171849,-0.00488896,0.643754886,2.537763547,2.673051973,2.648209531,1.374614288,2.070681619,1.992169311
3,2,50,8,1,Norm,gls.model,1,1,0.020296353,0.508725734,0.04047945,0.054,0.054,0.054,0.030425764,0.044107306,0.770522612,0.539618841,1.238820955,0.277190022,0.562893739,0.60622663,0.0005553,-0.001100206,0.016174282,-0.052824657,0.031759827,-0.013637628,0.018592667,-0.036171849,0.01056317,-0.031585918,-0.001860374,-0.011578265,-0.023237878,0.002182508,-0.015845263,-0.0347876
3,2,50,8,1,Norm,gls.s,1,1,0.020296353,0.508725734,0.04047945,0.054,0.054,0.054,0.030425764,0.044107306,0.770522612,0.539618841,1.238820955,0.277190022,0.562893739,0.60622663,0.0005553,-0.001100206,0.016174282,-0.052824657,0.031759827,-0.013637628,0.018592667,-0.036171849,0.01056317,-0.031585918,-0.001860374,-0.011578265,-0.023237878,0.002182508,-0.015845263,-0.0347876
3,2,50,8,1,Norm,ls,1,1,0.475534014,0.508609075,0.964600011,0.684,0.054,0.054,0.030002762,0.043597038,0.770522612,0.539618841,1.238820955,0.277190022,0.562893739,0.60622663,0.000595581,-0.001242128,0.016174282,-0.052824657,0.031759827,-0.013637628,0.018592667,-0.036171849,-0.913146017,-0.884015677,-0.982128565,-0.986240432,-0.989051181,-0.988307792,-0.985905126,-0.988005297
3,2,50,8,1,Norm,wls,1,0,0.020296353,0.520157289,0.069738051,0.054,0.054,0.054,0.030425764,0.044107306,0.792982131,0.549786943,1.268165495,0.282172666,0.575243035,0.618374972,0.0005553,-0.001100206,0.01697899,-0.050150498,0.031534644,-0.011731204,0.020662123,-0.036111199,0.01056317,-0.031585918,-0.08411835,-0.083521738,-0.09909257,-0.06179044,-0.085425488,-0.101806737
3,2,50,8,1,Norm,fites,0.998,NA,0.054962191,0.510505046,0.056892239,0.0501002,0.057114228,0.057114228,0.030444211,0.044134271,0.77074121,0.535679023,1.2396617,0.279671503,0.562825195,0.620883257,0.000527105,-0.001063371,0.034966545,-0.033281186,0.051679038,-0.0169763,0.028006894,-0.045432226,-9.03E-05,-0.042049884,-0.06297075,-0.066762445,-0.085425438,-0.043651158,-0.065382748,-0.088805166
3,2,50,8,1,Norm,fiteu,0.998,NA,0.054962191,0.510505046,0.056892239,0.0501002,0.0501002,0.0501002,0.030444211,0.044134271,0.77074121,0.535679023,1.2396617,0.279671503,0.562825195,0.620883257,0.000527105,-0.001063371,0.034966545,-0.033281186,0.051679038,-0.0169763,0.028006894,-0.045432226,-9.03E-05,-0.042049884,-0.06297075,-0.066762445,-0.085425438,-0.043651158,-0.065382748,-0.088805166
