p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
5,2,50,10,10,Norm,gammaN.model,1,1,0.206104186,0.263035688,0.032303036,0.048,0.054,0.033,0.028989167,0.03677386,0.378018422,0.27292031,0.253981575,0.317877689,0.508909673,0.249531736,0.356763033,0.226591411,0.000722247,-0.001262403,-0.013256079,-0.013376121,-0.029992211,-0.030102409,-0.004400421,-0.006659562,-0.012314957,-0.020680229,0.041427173,0.000172108,-0.028132949,-0.026254409,-0.01022485,-0.016629689,-0.075142905,-0.066772266,-0.042171815,-0.016102193
5,2,50,10,10,Norm,gammaN.s,1,0.97,0.199826696,0.300149225,0.053393082,0.039,0.054,0.04,0.029901633,0.038027478,0.402629896,0.321922907,0.317345306,0.38078796,0.526068727,0.28536038,0.430891122,0.268556839,0.000619089,-0.001191777,-0.120334581,-0.134876249,-0.143728762,-0.144827328,-0.093480101,-0.097967284,-0.141353827,-0.114835794,-0.021921724,-0.063614686,0.005608719,-0.016600334,-0.049607853,-0.059004103,-0.064827049,-0.108576308,-0.095033125,-0.049136918
5,2,50,10,10,Norm,ridgeI,1,0.99,17.33107189,0.314699126,0.207955218,1,0.156,0.128,0.031370221,0.039635572,0.420426966,0.334423036,0.317421238,0.390099333,0.56816666,0.303188124,0.457228273,0.285031837,0.000613506,-0.002085996,-0.100982667,-0.122046253,-0.125902068,-0.125209238,-0.086149986,-0.097387952,-0.143590475,-0.11334708,-0.133720001,-0.164158774,-0.180902333,-0.200300297,-0.213854941,-0.231613702,-0.237502281,-0.258457379,-0.242161105,-0.216881368
5,2,50,10,10,Norm,ridgeD,1,0.01,0.1674925,0.320647314,0.190038377,0.029,0.127,0.107,0.031005149,0.03926408,0.410089918,0.30319191,0.312425179,0.43083042,0.675003563,0.292786856,0.446029434,0.265846632,0.000607294,-0.001604018,-0.070640884,-0.074243265,-0.079255878,-0.075257154,-0.055138141,-0.084458127,-0.134640997,-0.089668175,-0.123888228,-0.156713267,-0.177779973,-0.180350289,-0.191371021,-0.188257331,-0.194394496,-0.252014543,-0.232360371,-0.203254251
5,2,50,10,10,Norm,gls.model,1,1,0.206104186,0.263035688,0.060394976,0.048,0.054,0.033,0.028989167,0.03677386,0.378018422,0.27292031,0.253981575,0.317877689,0.508909673,0.249531736,0.356763033,0.226591411,0.000722247,-0.001262403,-0.013256079,-0.013376121,-0.029992211,-0.030102409,-0.004400421,-0.006659562,-0.012314957,-0.020680229,0.041427173,0.000172108,-0.028132949,-0.026254409,-0.01022485,-0.016629689,-0.075142905,-0.066772266,-0.042171815,-0.016102193
5,2,50,10,10,Norm,gls.s,1,1,0.199614624,0.300174621,0.04767743,0.039,0.052,0.036,0.029911467,0.03802864,0.402989591,0.32178595,0.317676489,0.381034091,0.525477,0.285351919,0.430906747,0.268584319,0.000620042,-0.001185568,-0.120794791,-0.134790025,-0.144007978,-0.145120915,-0.093321025,-0.098031077,-0.14142079,-0.114877359,-0.017136572,-0.058713004,0.051305977,0.025100716,-0.002108101,-0.011864605,-0.030378353,-0.069298687,-0.063673324,-0.00136339
5,2,50,10,10,Norm,ls,1,1,1513.218262,0.538928862,0.97977219,1,0.143,0.03,0.02888063,0.036506713,0.551326372,0.68706938,0.844018554,0.99293808,1.400600819,0.249229107,0.362017703,0.236701259,0.000818196,-0.001295661,-0.015891836,-0.039559711,0.003574094,-0.012100075,-0.06136866,-0.005780927,-0.014703018,-0.019167714,-0.923439893,-0.938038854,-0.984038075,-0.990086875,-0.99290168,-0.993342707,-0.993408037,-0.993434967,-0.993500578,-0.995530235
5,2,50,10,10,Norm,wls,1,0,0.281751873,0.338762208,0.281229977,0.199,0.199,0.199,0.03327851,0.042026117,0.451911791,0.366501334,0.342524347,0.429550385,0.615236836,0.322188668,0.483204507,0.301199582,0.000595242,-0.001642256,-0.104092267,-0.137853146,-0.135348466,-0.137961935,-0.096399594,-0.102358673,-0.147622758,-0.118073751,-0.206200958,-0.234501507,-0.266761913,-0.277855648,-0.291621164,-0.318926122,-0.316367924,-0.31923137,-0.302662474,-0.27817069
5,2,50,10,10,Norm,fites,1,NA,0.054962191,0.26156595,0.074085791,0.062,0.085,0.056,0.02899668,0.036792708,0.376326306,0.270320394,0.249683402,0.313771778,0.506828233,0.250511955,0.355108541,0.227319504,0.000735446,-0.001254793,0.008554611,0.007028317,-0.011050621,-0.007740564,0.016847856,-0.009708138,-0.008037798,-0.022760282,0.030682097,-0.010446608,-0.091605574,-0.077448076,-0.070476248,-0.081387407,-0.126320532,-0.111786909,-0.074480685,-0.066223775
5,2,50,10,10,Norm,fiteu,1,NA,0.054962191,0.26156595,0.103983534,0.062,0.078,0.053,0.02899668,0.036792708,0.376326306,0.270320394,0.249683402,0.313771778,0.506828233,0.250511955,0.355108541,0.227319504,0.000735446,-0.001254793,0.008554611,0.007028317,-0.011050621,-0.007740564,0.016847856,-0.009708138,-0.008037798,-0.022760282,0.003672169,-0.03671248,-0.11858664,-0.120734664,-0.112492099,-0.119330385,-0.152230505,-0.146128619,-0.123401654,-0.106546121
