p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.beta1,RMSE.beta2,RMSE.gamma1,RMSE.gamma2,RMSE.gamma3,RMSE.gamma4,RMSE.gamma5,RMSE.gamma6,RMSE.gamma7,RMSE.gamma8,RMSE.gamma9,RMSE.gamma10,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.psi66,RMSE.psi77,RMSE.psi88,RMSE.psi99,RMSE.psi1010,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.beta1,BIAS.beta2,BIAS.gamma1,BIAS.gamma2,BIAS.gamma3,BIAS.gamma4,BIAS.gamma5,BIAS.gamma6,BIAS.gamma7,BIAS.gamma8,BIAS.gamma9,BIAS.gamma10,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.psi66,BIAS.psi77,BIAS.psi88,BIAS.psi99,BIAS.psi1010,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.beta1,SE BIAS.beta2,SE BIAS.gamma1,SE BIAS.gamma2,SE BIAS.gamma3,SE BIAS.gamma4,SE BIAS.gamma5,SE BIAS.gamma6,SE BIAS.gamma7,SE BIAS.gamma8,SE BIAS.gamma9,SE BIAS.gamma10,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.psi66,SE BIAS.psi77,SE BIAS.psi88,SE BIAS.psi99,SE BIAS.psi1010,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
10,2,300,94,158,Norm,gammaN.model,1,1,0.528541897,0.074501432,0.02637088,0.038,0.037,0.01,0.012321043,0.014266523,0.104740803,0.050840734,0.176835407,0.087834082,0.05149824,0.038958358,0.030789683,0.026113768,0.021378085,0.020847468,0.018815942,0.017003443,0.117269928,0.100988138,0.10269192,0.096460815,0.091696511,0.093415982,0.094671277,0.099661548,0.106832374,0.122140326,0.092777648,0.136986777,0.083701845,0.000504116,0.000184286,0.001667307,-0.000601992,0.007090705,0.003479796,0.003566226,-0.000488694,0.001905481,-0.000275914,0.000130383,0.000215314,0.000478979,0.000133709,-0.007090383,-0.010834415,-0.008091366,-0.010462172,-0.003714342,-0.010597361,-0.01101663,-0.004737145,-0.013966263,-0.011247985,-0.003846762,-0.006932957,-0.005318541,-0.023177498,0.017022027,-0.042352857,-0.045916839,-0.016302865,-0.065163712,0.022511804,-0.00956098,-0.003991353,-0.022553175,0.038765997,-0.035662671,-0.007297672,0.056984201,0.00262858,0.045171143,-0.053017561,-0.035289252,-0.011706601,-0.019249502,-0.002514129,-0.002512529,0.032270662,0.02202729,-0.041988001,-0.026718857,-0.009656015
10,2,300,94,158,Norm,gammaN.s,1,0.99,0.512455021,0.114017576,0.054217832,0.022,0.028,0.009,0.01242294,0.014383489,0.113028428,0.056841725,0.185413505,0.093272502,0.054458037,0.041134869,0.032124384,0.028194327,0.022633146,0.021827472,0.020209651,0.018741308,0.186847883,0.182495974,0.18393465,0.181695873,0.175082594,0.181148829,0.180078635,0.179904281,0.190300489,0.190543835,0.165247051,0.205425878,0.161082806,0.000447027,5.00E-05,0.00039064,-0.001062734,0.007663057,0.00432822,0.004135587,-0.000316555,0.001874113,0.0001049,-0.000198383,-0.000162275,0.000765366,9.38E-05,-0.11921295,-0.126209202,-0.12669769,-0.127896381,-0.124332531,-0.129660418,-0.128036898,-0.123464264,-0.128666317,-0.120249402,-0.114974864,-0.119154755,-0.116920368,-0.049078287,-0.009163277,-0.064954457,-0.099118068,-0.040699785,-0.100720856,-0.013754491,-0.043908022,-0.026860007,-0.078235111,0.001391825,-0.06147672,-0.056191893,-0.021008827,-0.040827279,-0.007473504,-0.09227242,-0.091619396,-0.069711369,-0.072456433,-0.053062381,-0.062544315,-0.040318051,-0.018071893,-0.09375234,-0.097957844,-0.057252599
10,2,300,94,158,Norm,ridgeI,1,0.27,1.095188655,0.131550017,0.482612022,1,0.999,0.999,0.016367366,0.018522063,0.143888344,0.073831323,0.248947401,0.123086142,0.075257341,0.054772933,0.043016687,0.037995406,0.030569638,0.029904646,0.027474247,0.02550887,0.210747613,0.19957412,0.189393962,0.185748795,0.17537732,0.182689598,0.189006075,0.204391678,0.22659289,0.257028629,0.184934252,0.234970573,0.162252541,0.000354129,0.000393772,-0.011671854,-0.013158581,-0.00182661,-0.004517206,-0.000334125,-0.004111621,-0.000233398,-0.001163595,-0.001851637,-0.001080182,0.00046931,-4.89E-05,-0.114511888,-0.123438561,-0.113460599,-0.116441184,-0.105298156,-0.109498881,-0.100657055,-0.100332125,-0.098289171,-0.09147511,-0.116883653,-0.114337671,-0.104794362,-0.477782071,-0.445201949,-0.486042803,-0.506879473,-0.501715032,-0.523175752,-0.502626466,-0.496265797,-0.490931327,-0.514035881,-0.469941978,-0.507478825,-0.4950156,-0.474701794,-0.483138919,-0.455200399,-0.492359202,-0.478426807,-0.476874177,-0.464119368,-0.472987049,-0.454302887,-0.445893651,-0.445758006,-0.497330622,-0.506116091,-0.466222677
10,2,300,94,158,Norm,ridgeD,1,0,1.184030854,0.149641524,0.583387392,1,1,1,0.018612286,0.02122577,0.162208875,0.082272506,0.294704216,0.144962048,0.091536779,0.065523118,0.051795901,0.044109977,0.036632522,0.034865107,0.032257846,0.029510409,0.238747625,0.226327176,0.2209779,0.221463822,0.213602143,0.217676058,0.213555198,0.226164365,0.233815695,0.243591528,0.20744226,0.275806222,0.1909338,0.000261542,0.000465587,-0.001792341,-0.002722117,0.006125923,0.001033142,0.003696705,-0.000603787,0.003379885,0.001414189,-0.00029228,-0.000317293,0.00273587,0.000430624,-0.125203597,-0.13582888,-0.133701965,-0.14077338,-0.132743114,-0.138622296,-0.130391712,-0.134657322,-0.135935748,-0.127345747,-0.126563012,-0.13430562,-0.121588261,-0.566827687,-0.543328242,-0.57076318,-0.589251724,-0.603991365,-0.61835226,-0.613677498,-0.606623732,-0.606703392,-0.613588943,-0.595350951,-0.616291552,-0.611519955,-0.592279924,-0.573305143,-0.54984469,-0.570856945,-0.563785713,-0.575732674,-0.566138869,-0.572577714,-0.575808482,-0.560403254,-0.556040822,-0.583093292,-0.591186851,-0.564134721
10,2,300,94,158,Norm,gls.model,1,1,0.528541897,0.074501432,0.02637088,0.038,0.037,0.01,0.012321043,0.014266523,0.104740803,0.050840734,0.176835407,0.087834082,0.05149824,0.038958358,0.030789683,0.026113768,0.021378085,0.020847468,0.018815942,0.017003443,0.117269928,0.100988138,0.10269192,0.096460815,0.091696511,0.093415982,0.094671277,0.099661548,0.106832374,0.122140326,0.092777648,0.136986777,0.083701845,0.000504116,0.000184286,0.001667307,-0.000601992,0.007090705,0.003479796,0.003566226,-0.000488694,0.001905481,-0.000275914,0.000130383,0.000215314,0.000478979,0.000133709,-0.007090383,-0.010834415,-0.008091366,-0.010462172,-0.003714342,-0.010597361,-0.01101663,-0.004737145,-0.013966263,-0.011247985,-0.003846762,-0.006932957,-0.005318541,-0.023177498,0.017022027,-0.042352857,-0.045916839,-0.016302865,-0.065163712,0.022511804,-0.00956098,-0.003991353,-0.022553175,0.038765997,-0.035662671,-0.007297672,0.056984201,0.00262858,0.045171143,-0.053017561,-0.035289252,-0.011706601,-0.019249502,-0.002514129,-0.002512529,0.032270662,0.02202729,-0.041988001,-0.026718857,-0.009656015
10,2,300,94,158,Norm,gls.s,1,1,0.512403327,0.114020644,0.044059112,0.022,0.024,0.008,0.012422175,0.014384907,0.113006398,0.056828651,0.185347137,0.093274449,0.054452057,0.041132392,0.032127681,0.028199361,0.022637677,0.021819158,0.02020962,0.018740611,0.186859492,0.182470311,0.183954923,0.181743729,0.17507658,0.181139207,0.180128317,0.179917674,0.190340286,0.190597707,0.165229889,0.20539819,0.161118814,0.000448554,4.80E-05,0.000369257,-0.001067894,0.007631795,0.00434887,0.004131426,-0.000321305,0.001865096,0.000100066,-0.00019795,-0.00015901,0.000761656,8.16E-05,-0.119228371,-0.126182805,-0.126736285,-0.127919907,-0.124339513,-0.12966583,-0.128078041,-0.12347997,-0.128691805,-0.12028692,-0.114980401,-0.11915098,-0.116948098,-0.043702943,-0.003966568,-0.053724728,-0.09100416,-0.030697724,-0.093216521,-0.003124832,-0.033593104,-0.016264398,-0.067722787,0.011604341,-0.048608433,-0.046229062,-0.008103422,-0.029111031,0.003995431,-0.08362361,-0.080038116,-0.055350787,-0.056530641,-0.040171475,-0.05166722,-0.028267925,-0.00514544,-0.076341513,-0.084788747,-0.043001067
10,2,300,94,158,Norm,ls,0.385,1,294.1130484,1.911387303,0.930752707,1,0.703896104,0.376623377,0.021533701,0.021470268,0.111290285,0.053654339,1.781122869,1.548396975,1.913398243,1.313374404,1.250008447,1.069487402,1.132240841,1.036797987,1.077504676,1.029691138,21.6078434,2.601366676,2.680548219,1.743383357,1.563102608,1.360031921,1.41304163,1.292577791,1.315078374,1.284245579,0.191810949,0.709569001,0.484886108,0.000147808,-0.000919338,-0.000427962,0.003995727,7.357770002,6.574045497,5.158648573,5.885009589,6.119675268,5.334713109,5.319789229,5.21570053,5.415961492,4.960140972,-0.923217826,-2.987783661,-5.34913482,-10.63939356,-17.13374529,-21.47914004,-29.14584591,-37.22463924,-48.98960274,-55.51056745,-0.106292727,-0.375270812,-0.285488994,-0.605745063,-0.444084342,-0.86636054,-0.727263682,-0.98807272,-0.99041975,-0.991186222,-0.98875822,-0.988815647,-0.986289446,-0.988201933,-0.985860617,-0.986629116,-0.986138516,-0.97636194,-0.985578342,-0.989031315,-0.987325219,-0.987502655,-0.985359104,-0.987377795,-0.985244657,-0.985885,-0.985750697,-0.952073958,-0.907838275,-0.89116832
10,2,300,94,158,Norm,wls,1,0,1.184030854,0.149641524,0.583387392,1,1,1,0.018612286,0.02122577,0.162208875,0.082272506,0.294704216,0.144962048,0.091536779,0.065523118,0.051795901,0.044109977,0.036632522,0.034865107,0.032257846,0.029510409,0.238747625,0.226327176,0.2209779,0.221463822,0.213602143,0.217676058,0.213555198,0.226164365,0.233815695,0.243591528,0.20744226,0.275806222,0.1909338,0.000261542,0.000465587,-0.001792341,-0.002722117,0.006125923,0.001033142,0.003696705,-0.000603787,0.003379885,0.001414189,-0.00029228,-0.000317293,0.00273587,0.000430624,-0.125203597,-0.13582888,-0.133701965,-0.14077338,-0.132743114,-0.138622296,-0.130391712,-0.134657322,-0.135935748,-0.127345747,-0.126563012,-0.13430562,-0.121588261,-0.566827687,-0.543328242,-0.57076318,-0.589251724,-0.603991365,-0.61835226,-0.613677498,-0.606623732,-0.606703392,-0.613588943,-0.595350951,-0.616291552,-0.611519955,-0.592279924,-0.573305143,-0.54984469,-0.570856945,-0.563785713,-0.575732674,-0.566138869,-0.572577714,-0.575808482,-0.560403254,-0.556040822,-0.583093292,-0.591186851,-0.564134721
10,2,300,94,158,Norm,fites,1,NA,0.193643391,0.074363332,0.029930987,0.088,0.094,0.032,0.012321068,0.014266596,0.104742113,0.050840082,0.176828505,0.087839669,0.05149727,0.038957316,0.03078945,0.026113978,0.021379537,0.020847134,0.018812763,0.017004045,0.117102983,0.100563325,0.102141934,0.096074005,0.091348223,0.092769571,0.094202158,0.099777891,0.106498404,0.121610297,0.092817277,0.136958164,0.083706215,0.000506741,0.000183659,0.001673678,-0.000603266,0.007101818,0.003476149,0.003567622,-0.000487157,0.001905034,-0.000276845,0.000131248,0.00021524,0.000479012,0.00013259,-0.003769928,-0.007920688,-0.004815444,-0.007196467,-0.00048475,-0.007464144,-0.007777704,-0.001500259,-0.010640891,-0.008010871,-0.00412173,-0.006762754,-0.005357038,-0.024850876,0.015468779,-0.048987731,-0.049346621,-0.021821584,-0.068077777,0.015366845,-0.016835111,-0.010487793,-0.027515202,0.032696878,-0.043497211,-0.014462278,0.04770433,-0.008357831,0.036058207,-0.05815217,-0.046218819,-0.021948571,-0.029841762,-0.013027299,-0.014792373,0.02055834,0.011287362,-0.055573981,-0.035019766,-0.020181144
10,2,300,94,158,Norm,fiteu,1,NA,0.193643391,0.074363332,0.061603239,0.088,0.093,0.035,0.012321068,0.014266596,0.104742113,0.050840082,0.176828505,0.087839669,0.05149727,0.038957316,0.03078945,0.026113978,0.021379537,0.020847134,0.018812763,0.017004045,0.117102983,0.100563325,0.102141934,0.096074005,0.091348223,0.092769571,0.094202158,0.099777891,0.106498404,0.121610297,0.092817277,0.136958164,0.083706215,0.000506741,0.000183659,0.001673678,-0.000603266,0.007101818,0.003476149,0.003567622,-0.000487157,0.001905034,-0.000276845,0.000131248,0.00021524,0.000479012,0.00013259,-0.003769928,-0.007920688,-0.004815444,-0.007196467,-0.00048475,-0.007464144,-0.007777704,-0.001500259,-0.010640891,-0.008010871,-0.00412173,-0.006762754,-0.005357038,-0.037916865,0.002207414,-0.104531813,-0.105384762,-0.049733812,-0.095912209,-0.014933685,-0.045098868,-0.041093216,-0.05894954,0.001483433,-0.072811086,-0.042284447,0.017483623,-0.062290576,-0.022590909,-0.11308721,-0.102332925,-0.081804932,-0.089163676,-0.071554051,-0.072432085,-0.037729634,-0.042778953,-0.108891926,-0.092004588,-0.076801208
