p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.beta1,RMSE.beta2,RMSE.gamma1,RMSE.gamma2,RMSE.gamma3,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.beta1,BIAS.beta2,BIAS.gamma1,BIAS.gamma2,BIAS.gamma3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.beta1,SE BIAS.beta2,SE BIAS.gamma1,SE BIAS.gamma2,SE BIAS.gamma3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
3,2,100,24,11,Norm,gammaN.model,1,0.93,0.112650243,0.298753793,0.048410011,0.037,0.043,0.035,0.022151093,0.030390694,0.191800315,0.104856138,0.357002277,0.159776361,0.144743653,0.568531688,0.371768445,0.905245516,0.203774218,0.40067315,0.423085756,0.000295071,0.001009019,0.008694181,0.010569568,-0.002281772,0.004871874,0.005785563,-0.011785917,-0.034553881,-0.036422816,-0.033783509,-0.013128676,-0.028950235,-0.025735464,-0.008568059,-0.08054325,-0.062232151,-0.067813196,-0.059609166,-0.047194213,-0.054784605,-0.038417362,-0.028491823,-0.050368549,-0.040331601,-0.065240701
3,2,100,24,11,Norm,gammaN.s,1,1,0.105677754,0.302574278,0.019595562,0.02,0.024,0.018,0.022149482,0.030409769,0.20158586,0.109764498,0.360313793,0.163540807,0.145887532,0.56487284,0.377831564,0.884565424,0.227216132,0.418319151,0.427008758,0.000284809,0.000985768,0.009000462,0.012964058,-0.003565221,0.004479923,0.006911496,-0.051835142,-0.077893934,-0.063653768,-0.080605733,-0.074201773,-0.071693665,-0.016460618,0.001266335,-0.054892606,-0.025921988,-0.003198324,-0.012834904,0.018061705,0.00861714,0.021262039,0.039162921,-0.032863913,0.013517363,-0.006682453
3,2,100,24,11,Norm,ridgeI,1,0.83,0.541963254,0.319101492,0.123141256,0.974,0.081,0.075,0.023324218,0.031396038,0.207895787,0.114519604,0.374957915,0.175973049,0.157841433,0.596895391,0.400738631,0.959000682,0.231625603,0.432685198,0.441465847,0.000562255,0.000932961,-0.005566246,0.004067148,0.010043947,0.017719141,0.017466002,-0.046841281,-0.071950232,-0.064991777,-0.075289936,-0.059316051,-0.059429828,-0.1145449,-0.071748997,-0.16162031,-0.147706809,-0.138089623,-0.15596246,-0.123197819,-0.119932765,-0.103963964,-0.086031202,-0.145696157,-0.11382607,-0.118515254
3,2,100,24,11,Norm,ridgeD,1,0.01,0.116257056,0.324975099,0.147074288,0.06,0.095,0.093,0.023787898,0.03162111,0.210661847,0.117432037,0.384479097,0.176731611,0.158681489,0.609044755,0.407437991,0.961063431,0.238746357,0.452950152,0.452038517,0.000482045,0.001162385,0.008078803,0.013374737,-0.004378892,0.003568391,0.006294267,-0.047401675,-0.071767358,-0.06251737,-0.081287508,-0.072299903,-0.070388006,-0.138519858,-0.093636294,-0.183387277,-0.18083549,-0.153700382,-0.164090906,-0.144555665,-0.147901023,-0.13479758,-0.110238304,-0.168331812,-0.149876747,-0.142094413
3,2,100,24,11,Norm,gls.model,1,1,0.1113034,0.298935999,0.028429865,0.034,0.039,0.027,0.022114559,0.030438208,0.191824092,0.104685229,0.356971185,0.159633543,0.144732231,0.569501562,0.371923165,0.908175938,0.202920535,0.399651127,0.423596614,0.000282526,0.000999438,0.00871389,0.010308665,-0.002136001,0.005007349,0.005884161,-0.00871851,-0.031194951,-0.034325443,-0.030151657,-0.008200254,-0.025670962,-0.01641209,-0.001547837,-0.059020508,-0.035957022,-0.04683231,-0.040578929,-0.026858566,-0.035240245,-0.018537542,-0.007276951,-0.021867479,-0.013462654,-0.045996111
3,2,100,24,11,Norm,gls.s,1,1,0.105677754,0.302574278,0.019595562,0.02,0.024,0.018,0.022149482,0.030409769,0.20158586,0.109764498,0.360313793,0.163540807,0.145887532,0.56487284,0.377831564,0.884565424,0.227216132,0.418319151,0.427008758,0.000284809,0.000985768,0.009000462,0.012964058,-0.003565221,0.004479923,0.006911496,-0.051835142,-0.077893934,-0.063653768,-0.080605733,-0.074201773,-0.071693665,-0.016460618,0.001266335,-0.054892606,-0.025921988,-0.003198324,-0.012834904,0.018061705,0.00861714,0.021262039,0.039162921,-0.032863913,0.013517363,-0.006682453
3,2,100,24,11,Norm,ls,0.941,1,19.77154501,1.43508638,0.869775217,1,0.149840595,0.059511158,0.022878965,0.036248067,0.193052673,0.113976013,2.564187367,2.265592334,1.656620067,0.959987664,2.69520803,6.717368904,0.232967862,0.553816557,0.644218441,-2.21E-06,0.001643963,0.006578263,0.013424707,0.805567906,0.692344068,0.623043471,-0.085446967,-0.325351613,-0.583083204,-0.049827952,-0.042157536,-0.094030223,-0.6729987,-0.459431689,-0.859893231,-0.765521203,-0.969835671,-0.960125374,-0.949230739,-0.968284863,-0.959719627,-0.949936343,-0.944294084,-0.924791064,-0.923015231
3,2,100,24,11,Norm,wls,1,0,0.127486327,0.328500719,0.162162357,0.105,0.105,0.105,0.024038921,0.031960359,0.214058197,0.119243016,0.393950932,0.180164881,0.162807995,0.615226742,0.416704435,0.954744887,0.241345886,0.457260448,0.459002649,0.000517723,0.001265506,0.009450607,0.014300195,-0.00621542,0.002629453,0.00562638,-0.051861455,-0.082571078,-0.06285828,-0.082459959,-0.073692089,-0.074746977,-0.147852192,-0.10401342,-0.19409088,-0.191634713,-0.169793137,-0.182132813,-0.169033181,-0.16061526,-0.156529363,-0.129639564,-0.179528806,-0.164429086,-0.158818228
3,2,100,24,11,Norm,fites,1,NA,0.193643391,0.299224163,0.048456716,0.05,0.054,0.04,0.022114283,0.030438786,0.191817193,0.104689649,0.356936141,0.15968559,0.144727351,0.568985475,0.369848085,0.9070692,0.204339067,0.399662246,0.429601056,0.000282969,0.000999093,0.008711075,0.010314304,-0.002132783,0.004980634,0.005923764,0.002421221,-0.020965095,-0.023072474,-0.032345541,-0.002499004,-0.031215405,-0.021122789,-0.007218814,-0.076873062,-0.057349166,-0.066118991,-0.05643743,-0.045414974,-0.061948055,-0.041895417,-0.03668257,-0.047793361,-0.041360265,-0.069722412
3,2,100,24,11,Norm,fiteu,1,NA,0.193643391,0.299224163,0.059756493,0.05,0.061,0.043,0.022114283,0.030438786,0.191817193,0.104689649,0.356936141,0.15968559,0.144727351,0.568985475,0.369848085,0.9070692,0.204339067,0.399662246,0.429601056,0.000282969,0.000999093,0.008711075,0.010314304,-0.002132783,0.004980634,0.005923764,0.002421221,-0.020965095,-0.023072474,-0.032345541,-0.002499004,-0.031215405,-0.021353905,-0.007479223,-0.100646435,-0.078112889,-0.069650405,-0.065871783,-0.049737165,-0.074160297,-0.055555365,-0.049059964,-0.066742973,-0.056234173,-0.082229829
