p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.beta1,RMSE.beta2,RMSE.gamma1,RMSE.gamma2,RMSE.gamma3,RMSE.gamma4,RMSE.gamma5,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi22,BIAS.alpha1,BIAS.alpha2,BIAS.beta1,BIAS.beta2,BIAS.gamma1,BIAS.gamma2,BIAS.gamma3,BIAS.gamma4,BIAS.gamma5,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi22,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.beta1,SE BIAS.beta2,SE BIAS.gamma1,SE BIAS.gamma2,SE BIAS.gamma3,SE BIAS.gamma4,SE BIAS.gamma5,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi22
5,2,100,39,38,Norm,gammaN.model,1,1,0.388380099,0.169398881,0.028956225,0.053,0.058,0.028,0.021497898,0.025494956,0.177976902,0.090925739,0.352570134,0.151774553,0.09811855,0.077136522,0.074755659,0.27129594,0.195620951,0.186079186,0.234624363,0.349537548,0.171701042,0.243550171,0.157120856,0.00011753,0.000708667,0.001046968,0.000805103,-0.012476444,0.002144129,0.002654156,-0.00058476,0.001242631,-0.019336214,-0.021245199,-0.025083275,-0.019093236,-0.015937746,-0.024966782,-0.01369837,-0.020665731,-0.008791693,0.023600371,0.005442474,-0.035282869,-0.045019471,-0.047246433,-0.04956897,-0.014678207,0.005462755,-0.037093157,-0.031980143,-0.042990441,-0.060799038,-0.033569566,-0.03044445,-0.014282271,0.006003518
5,2,100,39,38,Norm,gammaN.s,1,0.97,0.363349267,0.217595749,0.066753574,0.025,0.038,0.017,0.021767782,0.02608887,0.210154885,0.104350572,0.374841488,0.162479636,0.106344124,0.083126851,0.080612768,0.349714408,0.298458956,0.290393084,0.319996966,0.406797911,0.263729605,0.344479876,0.255789951,0.000205889,0.00075852,-0.000112381,0.000468819,-0.012989764,0.003217613,0.000729234,-0.000357943,-5.07E-05,-0.15569164,-0.175253193,-0.169977698,-0.163462463,-0.139518902,-0.159222275,-0.16990388,-0.155649702,-0.043892366,-0.024321919,-0.092120894,-0.109557132,-0.07165651,-0.087086052,-0.096965802,-0.060497916,-0.031954882,-0.065346031,-0.03608528,-0.089215377,-0.073398127,-0.04762526,-0.057846336,-0.070457209,-0.076783661
5,2,100,39,38,Norm,ridgeI,1,0.83,2.243980395,0.241705376,0.334803373,1,0.483,0.441,0.025174796,0.030574264,0.237640496,0.122292241,0.44834017,0.199738726,0.127950078,0.104271795,0.102948832,0.37476943,0.301963058,0.296344992,0.362804559,0.546524168,0.262733973,0.331417825,0.233501994,0.000160999,0.000563525,-0.036559581,-0.026927854,0.002632601,0.014457645,0.019220653,0.015003699,0.015308009,-0.140309308,-0.149030196,-0.147537764,-0.140576778,-0.130737737,-0.141642221,-0.129362054,-0.114652835,-0.307390886,-0.295776603,-0.330704519,-0.356275217,-0.386182132,-0.404235983,-0.367091765,-0.333636022,-0.316423894,-0.335699608,-0.337549931,-0.316520739,-0.305397553,-0.328849994,-0.325964742,-0.320196279,-0.323761466
5,2,100,39,38,Norm,ridgeD,1,0.01,0.379470108,0.268521119,0.324175161,0.072,0.479,0.44,0.024808815,0.029967706,0.231889141,0.11798746,0.433716083,0.192116699,0.120457759,0.095594058,0.093958825,0.362730707,0.286820922,0.366199658,0.49960871,0.877933773,0.25147125,0.344128992,0.235468465,0.000413835,0.001262524,-0.019684216,-0.010225731,-0.00899508,-0.001117371,0.003626674,-0.00110581,0.001296795,-0.109490677,-0.10714199,-0.096111053,-0.068932364,-0.098640539,-0.133903785,-0.13726633,-0.112709897,-0.304428646,-0.29361576,-0.333056736,-0.363067893,-0.358321966,-0.376726228,-0.347529787,-0.312038915,-0.299228,-0.316682388,-0.315758535,-0.320753488,-0.275986923,-0.316834059,-0.310646644,-0.331774771,-0.334526999
5,2,100,39,38,Norm,gls.model,1,1,0.388380099,0.169398881,0.028956225,0.053,0.058,0.028,0.021497898,0.025494956,0.177976902,0.090925739,0.352570134,0.151774553,0.09811855,0.077136522,0.074755659,0.27129594,0.195620951,0.186079186,0.234624363,0.349537548,0.171701042,0.243550171,0.157120856,0.00011753,0.000708667,0.001046968,0.000805103,-0.012476444,0.002144129,0.002654156,-0.00058476,0.001242631,-0.019336214,-0.021245199,-0.025083275,-0.019093236,-0.015937746,-0.024966782,-0.01369837,-0.020665731,-0.008791693,0.023600371,0.005442474,-0.035282869,-0.045019471,-0.047246433,-0.04956897,-0.014678207,0.005462755,-0.037093157,-0.031980143,-0.042990441,-0.060799038,-0.033569566,-0.03044445,-0.014282271,0.006003518
5,2,100,39,38,Norm,gls.s,1,1,0.362955179,0.217638354,0.041210845,0.023,0.033,0.014,0.02176295,0.026061775,0.210069978,0.10429632,0.374853352,0.162213519,0.106287527,0.083073576,0.080635733,0.34997212,0.298412165,0.290405708,0.320324176,0.406440205,0.264047037,0.344835594,0.256160288,0.000201431,0.000745622,6.86E-06,0.00052963,-0.013097908,0.003360327,0.000604828,-0.000320495,-4.45E-05,-0.155950617,-0.175361008,-0.169980446,-0.163765433,-0.139425745,-0.159474078,-0.170277954,-0.156010639,-0.032288483,-0.01034391,-0.066685097,-0.079321252,-0.048094254,-0.059479531,-0.073287826,-0.032956884,-0.009170833,-0.037444392,-0.006066249,-0.062230607,-0.046716232,-0.018695948,-0.028841918,-0.045507075,-0.043453875
5,2,100,39,38,Norm,ls,0.499,1,92.57636326,2.104641008,0.888781893,1,0.344689379,0.174348697,0.035962437,0.050170294,0.188785068,0.095162587,3.066567963,2.204045167,1.975056098,1.572210984,1.726315349,8.372984785,6.456525498,3.363564506,2.605584677,2.50772882,0.284619056,0.708798226,0.564815626,0.000467459,-0.001036848,0.007767831,0.009876176,4.915648356,3.44425613,3.667892419,3.375746077,3.362787872,-0.75138537,-1.65305263,-3.731302071,-5.858379058,-9.338469097,-0.118936151,-0.278263628,-0.262079626,-0.624946728,-0.490195063,-0.857761765,-0.724181445,-0.969175304,-0.972244435,-0.971164572,-0.973625583,-0.971165989,-0.962174629,-0.967432191,-0.967685901,-0.97142143,-0.96889298,-0.938182328,-0.903765435,-0.875276398
5,2,100,39,38,Norm,wls,1,0,0.653227822,0.275529148,0.465272413,0.724,0.724,0.724,0.028308566,0.034146911,0.265761498,0.13415405,0.534868906,0.249256587,0.157808102,0.120978826,0.121885881,0.434838597,0.361464343,0.343572557,0.374257222,0.537337823,0.300471642,0.398197435,0.286686572,7.05E-05,0.000969818,0.001900528,-0.001736211,6.24E-05,-0.003560021,0.002495586,-0.002407783,0.002572992,-0.161428978,-0.183182608,-0.180423201,-0.169057035,-0.168965566,-0.162116076,-0.167780987,-0.154289169,-0.423032622,-0.41485748,-0.449079089,-0.464604655,-0.51481924,-0.544821216,-0.539272509,-0.505317711,-0.512084698,-0.45866916,-0.456657784,-0.45815437,-0.431393065,-0.440272383,-0.425696948,-0.432828471,-0.438069615
5,2,100,39,38,Norm,fites,1,NA,0.193643391,0.169079061,0.046627459,0.093,0.113,0.056,0.021498343,0.025499031,0.177970897,0.090921584,0.352529701,0.151782268,0.098132129,0.077130202,0.074763959,0.269900076,0.194053976,0.185358101,0.233529916,0.348645261,0.17218492,0.243087659,0.157356008,0.000124273,0.00070875,0.001090359,0.000773687,-0.012353935,0.002179592,0.002676598,-0.000582411,0.001250398,-0.009375196,-0.011105186,-0.014242104,-0.010015067,-0.004956854,-0.026516663,-0.011587488,-0.021747975,-0.01363655,0.017416235,-0.012514601,-0.059007589,-0.061312754,-0.065849725,-0.065973372,-0.033174572,-0.009297972,-0.063625518,-0.058285312,-0.076153601,-0.085023981,-0.060325486,-0.054973915,-0.032299445,-0.023796173
5,2,100,39,38,Norm,fiteu,1,NA,0.193643391,0.169079061,0.092880589,0.093,0.117,0.065,0.021498343,0.025499031,0.177970897,0.090921584,0.352529701,0.151782268,0.098132129,0.077130202,0.074763959,0.269900076,0.194053976,0.185358101,0.233529916,0.348645261,0.17218492,0.243087659,0.157356008,0.000124273,0.00070875,0.001090359,0.000773687,-0.012353935,0.002179592,0.002676598,-0.000582411,0.001250398,-0.009375196,-0.011105186,-0.014242104,-0.010015067,-0.004956854,-0.026516663,-0.011587488,-0.021747975,-0.027712862,0.002981143,-0.085625406,-0.1268441,-0.089747298,-0.102126559,-0.103148426,-0.072229637,-0.043585365,-0.113997484,-0.122044736,-0.137407064,-0.141094209,-0.109734102,-0.113833652,-0.101065058,-0.085792908
