p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.psi66,RMSE.psi77,RMSE.psi88,RMSE.psi99,RMSE.psi1010,RMSE.phi11,RMSE.phi12,RMSE.phi13,RMSE.phi22,RMSE.phi23,RMSE.phi33,BIAS.alpha1,BIAS.alpha2,BIAS.alpha3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.psi66,BIAS.psi77,BIAS.psi88,BIAS.psi99,BIAS.psi1010,BIAS.phi11,BIAS.phi12,BIAS.phi13,BIAS.phi22,BIAS.phi23,BIAS.phi33,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.alpha3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.psi66,SE BIAS.psi77,SE BIAS.psi88,SE BIAS.psi99,SE BIAS.psi1010,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi13,SE BIAS.phi22,SE BIAS.phi23,SE BIAS.phi33
10,3,100,19,46,Norm,gammaN.model,1,1,0.469957712,0.179893085,0.023413239,0.057,0.06,0.024,0.021947474,0.026821093,0.025312964,0.250693491,0.190587685,0.174238116,0.181173419,0.183185567,0.181931852,0.173746798,0.17984889,0.229840536,0.396557901,0.168822542,0.246099854,0.232496035,0.172323761,0.242405647,0.139934999,0.000355784,0.001142317,0.000215231,7.77E-05,-0.010251734,-0.017520219,-0.017669264,-0.005937607,-0.010062098,-0.008829362,-0.003213457,-0.010920092,0.004442383,-0.012382954,-0.000747584,-0.014096823,-0.016284824,-0.012667706,-0.009444251,-0.026530291,-0.001699247,-0.014266584,0.018731334,-0.039380595,-0.009612052,-0.031201151,-0.030349651,-0.03045094,-0.013749919,-0.039105965,-0.031992594,-0.035007087,-0.016893638,-0.005585207,0.031265072,-0.029974621,-0.019621805,0.019433788
10,3,100,19,46,Norm,gammaN.s,1,0.95,0.457661584,0.256727117,0.092706142,0.034,0.061,0.029,0.022768992,0.028158725,0.026175729,0.331418651,0.283689281,0.287181391,0.297305175,0.286293521,0.291195882,0.277833411,0.275529336,0.321228668,0.456961211,0.238529091,0.345641596,0.314399701,0.241596063,0.325275222,0.226633574,0.000437888,0.001141756,0.000560593,-0.153348562,-0.158780886,-0.172655906,-0.176972463,-0.166052624,-0.170921332,-0.16596019,-0.159610012,-0.163630335,-0.13377212,-0.128602817,-0.153854775,-0.140935389,-0.132013413,-0.146990834,-0.139182086,-0.11242594,-0.10061525,-0.100973819,-0.024293257,-0.097319531,-0.087310742,-0.114758927,-0.099795778,-0.101805054,-0.072599242,-0.090853964,-0.087358519,-0.07801673,-0.099210762,-0.120561725,-0.085443463,-0.098267441,-0.108562269,-0.081244292
10,3,100,19,46,Norm,ridgeI,1,0.99,58.15873651,0.273790188,0.414768878,1,0.753,0.726,0.026570754,0.033757315,0.031007577,0.365420038,0.284869747,0.280127959,0.294195372,0.277765357,0.287306426,0.276519276,0.273805117,0.331702419,0.507904782,0.267248232,0.397716215,0.365531469,0.269473111,0.380709188,0.250383211,0.000572922,0.001227848,0.000588722,-0.131908329,-0.133596137,-0.139696755,-0.155882127,-0.135188096,-0.145673832,-0.143708285,-0.133450233,-0.132982893,-0.108982666,-0.1261885,-0.159240186,-0.141745846,-0.128550781,-0.15059181,-0.139652592,-0.392920663,-0.39976373,-0.395679031,-0.395772363,-0.41512417,-0.425855319,-0.411324484,-0.407902664,-0.413051079,-0.398215429,-0.411953457,-0.422179823,-0.403537978,-0.429886296,-0.433127513,-0.429631743,-0.430160723,-0.44474817,-0.419774044
10,3,100,19,46,Norm,ridgeD,1,0,0.990853807,0.325872991,0.533093372,0.916,0.916,0.916,0.03061357,0.039423518,0.035869857,0.452257491,0.354592326,0.345750248,0.359080545,0.34154927,0.35599366,0.342504287,0.32915775,0.400068195,0.610624236,0.3064963,0.450103065,0.417928558,0.307077674,0.434948978,0.2775473,0.000161251,0.000973124,1.27E-05,-0.16165981,-0.165041205,-0.171168341,-0.183731269,-0.164069128,-0.177481594,-0.175878539,-0.159474228,-0.159995343,-0.133219966,-0.131827095,-0.162045092,-0.147468905,-0.134831238,-0.159565928,-0.144735411,-0.506334305,-0.518669346,-0.51151286,-0.530036154,-0.543485303,-0.547003076,-0.538567665,-0.534326173,-0.539114233,-0.525884605,-0.527132113,-0.538930427,-0.528202748,-0.545361888,-0.54091662,-0.538110389,-0.542003666,-0.546794516,-0.526387979
10,3,100,19,46,Norm,gls.model,1,1,0.469957712,0.179893085,0.033591082,0.057,0.06,0.024,0.021947474,0.026821093,0.025312964,0.250693491,0.190587685,0.174238116,0.181173419,0.183185567,0.181931852,0.173746798,0.17984889,0.229840536,0.396557901,0.168822542,0.246099854,0.232496035,0.172323761,0.242405647,0.139934999,0.000355784,0.001142317,0.000215231,7.77E-05,-0.010251734,-0.017520219,-0.017669264,-0.005937607,-0.010062098,-0.008829362,-0.003213457,-0.010920092,0.004442383,-0.012382954,-0.000747584,-0.014096823,-0.016284824,-0.012667706,-0.009444251,-0.026530291,-0.001699247,-0.014266584,0.018731334,-0.039380595,-0.009612052,-0.031201151,-0.030349651,-0.03045094,-0.013749919,-0.039105965,-0.031992594,-0.035007087,-0.016893638,-0.005585207,0.031265072,-0.029974621,-0.019621805,0.019433788
10,3,100,19,46,Norm,gls.s,1,1,0.456540513,0.256801729,0.068345289,0.033,0.043,0.02,0.02278195,0.028117988,0.026129538,0.330987516,0.283946977,0.287484574,0.297311292,0.286598148,0.29124535,0.27779834,0.275715518,0.321510585,0.45780271,0.238394521,0.345560986,0.314246091,0.241679453,0.325143135,0.22677817,0.00044104,0.001137646,0.000572763,-0.153545067,-0.159107254,-0.17314644,-0.177085783,-0.166214468,-0.170799263,-0.165932285,-0.159891475,-0.164219583,-0.134665213,-0.128735783,-0.153766993,-0.141035927,-0.132205325,-0.146923824,-0.139344554,-0.094102799,-0.080264342,-0.079977076,0.024411735,-0.054784415,-0.043910156,-0.063762921,-0.052005998,-0.058571531,-0.031171723,-0.051725886,-0.041843734,-0.034966567,-0.058782528,-0.081295907,-0.042961616,-0.055711844,-0.071068828,-0.040501241
10,3,100,19,46,Norm,ls,1,1,651657.3392,4.844149317,0.989421186,1,0.222,0.051,0.021838218,0.026829935,0.025320368,0.533621865,0.574787438,1.229203955,2.481383728,4.01413552,5.372921486,6.42464597,9.163016982,8.427231662,52.02230539,0.202250528,0.434589867,0.239732319,0.436049869,0.268413108,0.14055882,0.000374242,0.001130663,0.000216146,-0.017606896,0.004002908,-0.035080005,-0.0698022,-0.108338918,0.007833479,0.111617528,0.063653688,0.310485574,-0.694760325,-0.009089547,-0.015197099,-0.012336142,8.18E-05,-0.017636913,-0.009055915,-0.927683518,-0.92385373,-0.991368821,-0.988171561,-0.992187532,-0.996472434,-0.998180974,-0.998810826,-0.999214331,-0.999412297,-0.999570888,-0.999591611,-0.999609351,-0.99410839,-0.995107945,-0.999155578,-0.997458293,-0.999133581,-0.999910868
10,3,100,19,46,Norm,wls,1,0,0.990853807,0.325872991,0.533093372,0.916,0.916,0.916,0.03061357,0.039423518,0.035869857,0.452257491,0.354592326,0.345750248,0.359080545,0.34154927,0.35599366,0.342504287,0.32915775,0.400068195,0.610624236,0.3064963,0.450103065,0.417928558,0.307077674,0.434948978,0.2775473,0.000161251,0.000973124,1.27E-05,-0.16165981,-0.165041205,-0.171168341,-0.183731269,-0.164069128,-0.177481594,-0.175878539,-0.159474228,-0.159995343,-0.133219966,-0.131827095,-0.162045092,-0.147468905,-0.134831238,-0.159565928,-0.144735411,-0.506334305,-0.518669346,-0.51151286,-0.530036154,-0.543485303,-0.547003076,-0.538567665,-0.534326173,-0.539114233,-0.525884605,-0.527132113,-0.538930427,-0.528202748,-0.545361888,-0.54091662,-0.538110389,-0.542003666,-0.546794516,-0.526387979
10,3,100,19,46,Norm,fites,1,NA,0.049797773,0.179386445,0.040966597,0.088,0.109,0.049,0.021931401,0.026829147,0.025312177,0.249850754,0.189887467,0.172498119,0.179479241,0.182118101,0.180815022,0.173166054,0.178468161,0.229590691,0.396299762,0.169205532,0.245438862,0.232561465,0.172724598,0.242222489,0.139943405,0.000354238,0.001149699,0.000214684,0.010642915,0.000487779,-0.007436395,-0.007565286,0.003965763,0.001606269,0.002414879,0.005868626,-0.000687132,0.014640479,-0.014010753,0.002018057,-0.014301816,-0.01809905,-0.012325869,-0.009461045,-0.030705646,-0.007034291,-0.019176175,-0.012719303,-0.069785385,-0.035783563,-0.066188332,-0.064757858,-0.059818439,-0.044776173,-0.059666086,-0.065970795,-0.070754656,-0.039864572,-0.027504882,0.007778919,-0.053835631,-0.03800929,-0.004235341
10,3,100,19,46,Norm,fiteu,1,NA,0.049797773,0.179386445,0.100994785,0.088,0.105,0.058,0.021931401,0.026829147,0.025312177,0.249850754,0.189887467,0.172498119,0.179479241,0.182118101,0.180815022,0.173166054,0.178468161,0.229590691,0.396299762,0.169205532,0.245438862,0.232561465,0.172724598,0.242222489,0.139943405,0.000354238,0.001149699,0.000214684,0.010642915,0.000487779,-0.007436395,-0.007565286,0.003965763,0.001606269,0.002414879,0.005868626,-0.000687132,0.014640479,-0.014010753,0.002018057,-0.014301816,-0.01809905,-0.012325869,-0.009461045,-0.063659094,-0.040829047,-0.0548836,-0.070693428,-0.133584543,-0.108827805,-0.140214814,-0.135806663,-0.134270401,-0.115590904,-0.130097164,-0.132615738,-0.125841408,-0.096306899,-0.091630093,-0.058975689,-0.110208255,-0.10292465,-0.071940722
