p,m,n,q,df,distribution,method,convergence,a,F,average RMSE,avereage SE BIAS,T,T_SB,T_MVA,RMSE.alpha1,RMSE.alpha2,RMSE.alpha2,RMSE.psi11,RMSE.psi22,RMSE.psi33,RMSE.psi44,RMSE.psi55,RMSE.phi11,RMSE.phi12,RMSE.phi13,RMSE.phi22,RMSE.phi23,RMSE.phi33,BIAS.alpha1,BIAS.alpha2,BIAS.alpha3,BIAS.psi11,BIAS.psi22,BIAS.psi33,BIAS.psi44,BIAS.psi55,BIAS.phi11,BIAS.phi12,BIAS.phi13,BIAS.phi22,BIAS.phi23,BIAS.phi33,SE BIAS.alpha1,SE BIAS.alpha2,SE BIAS.alpha3,SE BIAS.psi11,SE BIAS.psi22,SE BIAS.psi33,SE BIAS.psi44,SE BIAS.psi55,SE BIAS.phi11,SE BIAS.phi12,SE BIAS.phi13,SE BIAS.phi22,SE BIAS.phi23,SE BIAS.phi33
5,3,50,14,6,Norm,gammaN.model,1,0.8,0.128197748,0.517291409,0.067224188,0.057,0.066,0.058,0.029607834,0.055359777,0.035306646,0.70193804,0.343382732,0.35021808,0.640102902,2.074504602,0.30065961,0.693687866,0.389143083,0.838852742,0.5714425,0.217873306,0.000301846,0.001023782,-0.002045556,-0.008391696,-0.033220677,-0.031400156,-0.084918943,0.158474324,-0.021393484,-0.009450579,-0.036911988,-0.043500565,-0.015007906,-0.040703469,0.022880148,-0.07923503,0.00257702,-0.04861457,-0.089060352,-0.087383218,-0.103219967,-0.107053783,-0.113454356,-0.043372807,-0.065985958,-0.092166625,-0.067013881,-0.019120915
5,3,50,14,6,Norm,gammaN.s,1,0.98,0.119690281,0.513544074,0.026771612,0.047,0.057,0.049,0.030029724,0.05580822,0.036099843,0.714757512,0.356180408,0.3696663,0.700190142,1.840433783,0.304557619,0.74201259,0.415017986,0.76587618,0.618589103,0.240397632,0.000301626,0.001122031,-0.001948062,-0.089351245,-0.088092902,-0.098331842,-0.184452636,0.195365558,-0.054959201,-0.112691924,-0.095267106,-0.024641979,-0.110076157,-0.08878447,0.016709435,-0.078230615,-0.01294305,0.049653161,-0.022559048,-0.012173597,-0.020821506,-0.001347781,-0.063668163,0.032525327,-0.02998198,-0.003320113,-0.014568079,0.016300705
5,3,50,14,6,Norm,ridgeI,1,0.99,9.497284484,0.541987726,0.11486422,1,0.096,0.073,0.031171908,0.056622797,0.037008225,0.75154768,0.377933649,0.376801237,0.710595194,2.008453757,0.323585853,0.772501527,0.433791759,0.811395697,0.647895449,0.248523425,0.000346808,0.000650325,-0.00248548,-0.076011814,-0.087435559,-0.085885564,-0.163275765,0.160012354,-0.052015319,-0.108576354,-0.090592571,-0.025144766,-0.108446784,-0.0868628,-0.05987319,-0.120935509,-0.075841112,-0.086566574,-0.145863617,-0.122854859,-0.13957168,-0.118082215,-0.180514925,-0.077624141,-0.142919717,-0.120569695,-0.122202664,-0.094679183
5,3,50,14,6,Norm,ridgeD,1,0,0.14919585,0.560626096,0.163657737,0.113,0.113,0.113,0.031929881,0.059084206,0.038145694,0.794056376,0.393604066,0.392937365,0.763030754,2.026729828,0.335728975,0.799166396,0.447983951,0.842349071,0.667747573,0.256271206,0.000432471,0.000260472,-0.00214067,-0.079355396,-0.093437947,-0.084907069,-0.179853026,0.197868687,-0.052360509,-0.109180957,-0.091694522,-0.032583613,-0.102836962,-0.087813092,-0.096742673,-0.171588015,-0.118887123,-0.151525474,-0.192910688,-0.182542189,-0.198727908,-0.171618776,-0.224606914,-0.125428271,-0.183558144,-0.163727891,-0.171228178,-0.138116075
5,3,50,14,6,Norm,gls.model,1,1,0.123471825,0.519982704,0.053743594,0.051,0.057,0.049,0.029554206,0.055229185,0.035206291,0.698538767,0.341292558,0.348636304,0.631048377,2.128185308,0.299434708,0.68779512,0.386296174,0.858841277,0.56381611,0.215883474,0.000341882,0.001222819,-0.001936297,0.012255709,-0.017844287,-0.016888591,-0.060388367,0.151433607,-0.013799686,0.017724703,-0.022435814,-0.049903415,0.009632929,-0.027824496,0.049893659,-0.058560225,0.031597198,-0.000592239,-0.033798031,-0.025629227,-0.05365135,-0.071603773,-0.053445829,-0.004032979,-0.010647083,-0.04851118,-0.019697942,0.043658923
5,3,50,14,6,Norm,gls.s,1,1,0.119640337,0.513557431,0.025707357,0.047,0.057,0.049,0.030037418,0.055805737,0.036106692,0.714653802,0.356116171,0.369823459,0.700244899,1.840233272,0.304529384,0.742209718,0.415025687,0.766027126,0.618543654,0.240447013,0.00030397,0.001135062,-0.001940826,-0.089444185,-0.088009278,-0.098565295,-0.184550353,0.195419068,-0.0550396,-0.112727479,-0.095318863,-0.024691709,-0.110155783,-0.088786538,0.018509872,-0.076537782,-0.011098774,0.084870479,0.013696203,0.028107404,0.01077871,0.026694423,-0.029869141,0.064203076,0.000995411,0.02961482,0.016753705,0.057855411
5,3,50,14,6,Norm,ls,1,1,6574.366552,1.235618834,0.971653432,1,0.135,0.043,0.029474849,0.054394577,0.035079908,0.755952059,0.855874193,1.435089919,2.539312279,7.817247967,0.30172753,0.694000238,0.393094942,1.20770092,0.915276284,0.264438013,0.000349533,0.001613604,-0.002052677,0.026518516,-0.046103018,0.030124352,-0.054600559,0.012191283,-0.016383163,0.027172355,-0.023330127,-0.054841865,0.005729914,-0.026126821,-0.908843281,-0.853849584,-0.945402537,-0.978425653,-0.991556839,-0.994886824,-0.997132497,-0.997885396,-0.986732007,-0.980013131,-0.992704999,-0.986365794,-0.992579121,-0.99677038
5,3,50,14,6,Norm,wls,1,0,0.14919585,0.560626096,0.163657737,0.113,0.113,0.113,0.031929881,0.059084206,0.038145694,0.794056376,0.393604066,0.392937365,0.763030754,2.026729828,0.335728975,0.799166396,0.447983951,0.842349071,0.667747573,0.256271206,0.000432471,0.000260472,-0.00214067,-0.079355396,-0.093437947,-0.084907069,-0.179853026,0.197868687,-0.052360509,-0.109180957,-0.091694522,-0.032583613,-0.102836962,-0.087813092,-0.096742673,-0.171588015,-0.118887123,-0.151525474,-0.192910688,-0.182542189,-0.198727908,-0.171618776,-0.224606914,-0.125428271,-0.183558144,-0.163727891,-0.171228178,-0.138116075
5,3,50,14,6,Norm,fites,1,NA,0.049797773,0.522645562,0.068901491,0.058,0.075,0.064,0.029548796,0.05521964,0.035192008,0.698512861,0.338975874,0.347421542,0.627256355,2.129872065,0.30251406,0.686026135,0.388641972,0.897819483,0.563401573,0.216635505,0.000355653,0.0012101,-0.001934074,0.034749284,0.001794819,0.003217074,-0.038449453,0.175947173,-0.018485817,0.034806043,-0.025815199,-0.075936645,0.021616981,-0.029234515,0.039497012,-0.067833948,0.021639544,-0.058853181,-0.085703979,-0.08893288,-0.108901378,-0.12251368,-0.100958563,-0.051063835,-0.051234422,-0.098943389,-0.062231225,-0.006313843
5,3,50,14,6,Norm,fiteu,1,NA,0.049797773,0.522645562,0.079007033,0.058,0.069,0.059,0.029548796,0.05521964,0.035192008,0.698512861,0.338975874,0.347421542,0.627256355,2.129872065,0.30251406,0.686026135,0.388641972,0.897819483,0.563401573,0.216635505,0.000355653,0.0012101,-0.001934074,0.034749284,0.001794819,0.003217074,-0.038449453,0.175947173,-0.018485817,0.034806043,-0.025815199,-0.075936645,0.021616981,-0.029234515,0.024915047,-0.0761546,0.004466132,-0.068821194,-0.105977624,-0.10300947,-0.126421574,-0.130018149,-0.113561901,-0.061903214,-0.073742106,-0.105370024,-0.082285907,-0.029451521
